,county,precinct,office,district,party,candidate,votes
1,St_Joseph,CENTRE TWP 4,Registered Voters,,,,927
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,0
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,6
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,3
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,320
0,St_Joseph,CENTRE TWP 4,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,243
1,St_Joseph,CENTRE TWP 4,PUBLIC QUESTION #1,,,YES,232
1,St_Joseph,CENTRE TWP 4,PUBLIC QUESTION #1,,,NO,284
2,St_Joseph,CENTRE TWP 4,Straight Party,,DEM,DEMOCRATIC,144
2,St_Joseph,CENTRE TWP 4,Straight Party,,REP,REPUBLICAN,223
2,St_Joseph,CENTRE TWP 4,Straight Party,,LIB,LIBERTARIAN,2
2,St_Joseph,CENTRE TWP 4,Straight Party,,WTP,WE THE PEOPLE,1
2,St_Joseph,CENTRE TWP 4,Straight Party,,RED,INDIANA REDEMPTION PARTY,0
3,St_Joseph,CENTRE TWP 4,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,CENTRE TWP 4,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,231
3,St_Joseph,CENTRE TWP 4,UNITED STATES SENATOR,,REP,JIM BANKS,311
3,St_Joseph,CENTRE TWP 4,UNITED STATES SENATOR,,LIB,ANDREW HORNING,16
3,St_Joseph,CENTRE TWP 4,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,CENTRE TWP 4,ATTORNEY GENERAL,,DEM,DESTINY WELLS,236
0,St_Joseph,CENTRE TWP 4,ATTORNEY GENERAL,,REP,TODD ROKITA,321
1,St_Joseph,CENTRE TWP 4,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,232
1,St_Joseph,CENTRE TWP 4,COUNTY CORONER,,REP,PATRICIA JORDAN,324
2,St_Joseph,CENTRE TWP 4,COUNTY RECORDER,,DEM,SHARON BANICKI,233
2,St_Joseph,CENTRE TWP 4,COUNTY RECORDER,,REP,CANDACE BROWN,322
3,St_Joseph,CENTRE TWP 4,COUNTY TREASURER,,REP,MICHAEL ROSE,310
3,St_Joseph,CENTRE TWP 4,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,244
4,St_Joseph,CENTRE TWP 4,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
4,St_Joseph,CENTRE TWP 4,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,24
4,St_Joseph,CENTRE TWP 4,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,295
4,St_Joseph,CENTRE TWP 4,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,249
5,St_Joseph,CENTRE TWP 4,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,212
5,St_Joseph,CENTRE TWP 4,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,345
6,St_Joseph,CENTRE TWP 4,STATE REPRESENTATIVE,7,DEM,NO CANDIDATE FILED,0
6,St_Joseph,CENTRE TWP 4,STATE REPRESENTATIVE,7,REP,JAKE TESHKA,385
7,St_Joseph,CENTRE TWP 4,STATE SENATOR,10,DEM,DAVID LEE NIEZGODSKI,276
7,St_Joseph,CENTRE TWP 4,STATE SENATOR,10,REP,NO CANDIDATE FILED,0
7,St_Joseph,CENTRE TWP 4,STATE SENATOR,10,LIB,TIM COTTON,102
8,St_Joseph,CENTRE TWP 4,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,220
8,St_Joseph,CENTRE TWP 4,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,320
8,St_Joseph,CENTRE TWP 4,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,21
8,St_Joseph,CENTRE TWP 4,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,CENTRE TWP 4,COUNTY COMMISSIONER DISTRICT 2,2,DEM,RAFAEL A MORTON,315
0,St_Joseph,CENTRE TWP 4,COUNTY COMMISSIONER DISTRICT 2,2,REP,NO CANDIDATE FILED,0
1,St_Joseph,CENTRE TWP 4,COUNTY SURVEYOR,,DEM,ED FISHER,241
1,St_Joseph,CENTRE TWP 4,COUNTY SURVEYOR,,REP,DEREK D DIETER,319
2,St_Joseph,CENTRE TWP 4,MANIER - JUDICIAL RETENTION,,,YES,331
2,St_Joseph,CENTRE TWP 4,MANIER - JUDICIAL RETENTION,,,NO,106
3,St_Joseph,CENTRE TWP 4,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,326
3,St_Joseph,CENTRE TWP 4,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,103
4,St_Joseph,CENTRE TWP 4,RETAIN JUSTICE DEREK READ MOLTER,,,YES,325
4,St_Joseph,CENTRE TWP 4,RETAIN JUSTICE DEREK READ MOLTER,,,NO,107
5,St_Joseph,CENTRE TWP 4,RETAIN JUSTICE LORETTA H. RUSH,,,YES,329
5,St_Joseph,CENTRE TWP 4,RETAIN JUSTICE LORETTA H. RUSH,,,NO,108
6,St_Joseph,CENTRE TWP 4,RETAIN JUSTICE MARK S. MASSA,,,YES,317
6,St_Joseph,CENTRE TWP 4,RETAIN JUSTICE MARK S. MASSA,,,NO,117
7,St_Joseph,CENTRE TWP 4,SANFORD - JUDICIAL RETENTION,,,YES,324
7,St_Joseph,CENTRE TWP 4,SANFORD - JUDICIAL RETENTION,,,NO,108
8,St_Joseph,CENTRE TWP 4,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,MARCUS ELLISON,103
8,St_Joseph,CENTRE TWP 4,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,KYLA HENDERSON,92
8,St_Joseph,CENTRE TWP 4,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GEORGE L. JONES,78
8,St_Joseph,CENTRE TWP 4,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GABREL (GABE) A. KEMPF,92
8,St_Joseph,CENTRE TWP 4,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,LYNN KING,83
8,St_Joseph,CENTRE TWP 4,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,JEANETTE MCCULLOUGH,186
9,St_Joseph,CENTRE TWP 4,STEELE - JUDICIAL RETENTION,,,YES,333
9,St_Joseph,CENTRE TWP 4,STEELE - JUDICIAL RETENTION,,,NO,101
0,St_Joseph,CENTRE TWP 4,TELLOYAN - JUDICIAL RETENTION,,,YES,332
0,St_Joseph,CENTRE TWP 4,TELLOYAN - JUDICIAL RETENTION,,,NO,103
1,St_Joseph,CENTRE TWP 4,WOODS - JUDICIAL RETENTION,,,YES,338
1,St_Joseph,CENTRE TWP 4,WOODS - JUDICIAL RETENTION,,,NO,99
0,St_Joseph,CENTRE TWP 5,Ballots Cast,,,,690
1,St_Joseph,CENTRE TWP 5,Registered Voters,,,,1184
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,0
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,7
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,7
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,426
0,St_Joseph,CENTRE TWP 5,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,240
1,St_Joseph,CENTRE TWP 5,PUBLIC QUESTION #1,,,YES,318
1,St_Joseph,CENTRE TWP 5,PUBLIC QUESTION #1,,,NO,308
2,St_Joseph,CENTRE TWP 5,Straight Party,,DEM,DEMOCRATIC,153
2,St_Joseph,CENTRE TWP 5,Straight Party,,REP,REPUBLICAN,295
2,St_Joseph,CENTRE TWP 5,Straight Party,,LIB,LIBERTARIAN,0
2,St_Joseph,CENTRE TWP 5,Straight Party,,WTP,WE THE PEOPLE,2
2,St_Joseph,CENTRE TWP 5,Straight Party,,RED,INDIANA REDEMPTION PARTY,1
3,St_Joseph,CENTRE TWP 5,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,CENTRE TWP 5,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,224
3,St_Joseph,CENTRE TWP 5,UNITED STATES SENATOR,,REP,JIM BANKS,439
3,St_Joseph,CENTRE TWP 5,UNITED STATES SENATOR,,LIB,ANDREW HORNING,18
3,St_Joseph,CENTRE TWP 5,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,CENTRE TWP 5,ATTORNEY GENERAL,,DEM,DESTINY WELLS,237
0,St_Joseph,CENTRE TWP 5,ATTORNEY GENERAL,,REP,TODD ROKITA,437
1,St_Joseph,CENTRE TWP 5,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,243
1,St_Joseph,CENTRE TWP 5,COUNTY CORONER,,REP,PATRICIA JORDAN,430
2,St_Joseph,CENTRE TWP 5,COUNTY RECORDER,,DEM,SHARON BANICKI,252
2,St_Joseph,CENTRE TWP 5,COUNTY RECORDER,,REP,CANDACE BROWN,422
3,St_Joseph,CENTRE TWP 5,COUNTY TREASURER,,REP,MICHAEL ROSE,418
3,St_Joseph,CENTRE TWP 5,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,251
4,St_Joseph,CENTRE TWP 5,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
4,St_Joseph,CENTRE TWP 5,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,34
4,St_Joseph,CENTRE TWP 5,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,412
4,St_Joseph,CENTRE TWP 5,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,236
5,St_Joseph,CENTRE TWP 5,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,231
5,St_Joseph,CENTRE TWP 5,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,439
6,St_Joseph,CENTRE TWP 5,STATE REPRESENTATIVE,7,DEM,NO CANDIDATE FILED,0
6,St_Joseph,CENTRE TWP 5,STATE REPRESENTATIVE,7,REP,JAKE TESHKA,493
7,St_Joseph,CENTRE TWP 5,STATE SENATOR,10,DEM,DAVID LEE NIEZGODSKI,292
7,St_Joseph,CENTRE TWP 5,STATE SENATOR,10,REP,NO CANDIDATE FILED,0
7,St_Joseph,CENTRE TWP 5,STATE SENATOR,10,LIB,TIM COTTON,134
8,St_Joseph,CENTRE TWP 5,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,223
8,St_Joseph,CENTRE TWP 5,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,431
8,St_Joseph,CENTRE TWP 5,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,13
8,St_Joseph,CENTRE TWP 5,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,CENTRE TWP 5,COUNTY COMMISSIONER DISTRICT 3,3,LIB,AMANDA MITCHELL,28
0,St_Joseph,CENTRE TWP 5,COUNTY COMMISSIONER DISTRICT 3,3,DEM,JOSEPH G. CARBONE,219
0,St_Joseph,CENTRE TWP 5,COUNTY COMMISSIONER DISTRICT 3,3,REP,ANTHONY (TONY) HAZEN,422
1,St_Joseph,CENTRE TWP 5,COUNTY COUNCIL DISTRICT F,,DEM,CHARLOTTE P. WOLFE,224
1,St_Joseph,CENTRE TWP 5,COUNTY COUNCIL DISTRICT F,,REP,RANDY FIGG,449
2,St_Joseph,CENTRE TWP 5,COUNTY SURVEYOR,,DEM,ED FISHER,240
2,St_Joseph,CENTRE TWP 5,COUNTY SURVEYOR,,REP,DEREK D DIETER,435
3,St_Joseph,CENTRE TWP 5,MANIER - JUDICIAL RETENTION,,,YES,403
3,St_Joseph,CENTRE TWP 5,MANIER - JUDICIAL RETENTION,,,NO,155
4,St_Joseph,CENTRE TWP 5,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,395
4,St_Joseph,CENTRE TWP 5,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,166
5,St_Joseph,CENTRE TWP 5,RETAIN JUSTICE DEREK READ MOLTER,,,YES,413
5,St_Joseph,CENTRE TWP 5,RETAIN JUSTICE DEREK READ MOLTER,,,NO,150
6,St_Joseph,CENTRE TWP 5,RETAIN JUSTICE LORETTA H. RUSH,,,YES,417
6,St_Joseph,CENTRE TWP 5,RETAIN JUSTICE LORETTA H. RUSH,,,NO,151
7,St_Joseph,CENTRE TWP 5,RETAIN JUSTICE MARK S. MASSA,,,YES,404
7,St_Joseph,CENTRE TWP 5,RETAIN JUSTICE MARK S. MASSA,,,NO,159
8,St_Joseph,CENTRE TWP 5,SANFORD - JUDICIAL RETENTION,,,YES,399
8,St_Joseph,CENTRE TWP 5,SANFORD - JUDICIAL RETENTION,,,NO,156
9,St_Joseph,CENTRE TWP 5,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,MARCUS ELLISON,124
9,St_Joseph,CENTRE TWP 5,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,KYLA HENDERSON,115
9,St_Joseph,CENTRE TWP 5,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GEORGE L. JONES,136
9,St_Joseph,CENTRE TWP 5,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GABREL (GABE) A. KEMPF,90
9,St_Joseph,CENTRE TWP 5,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,LYNN KING,122
9,St_Joseph,CENTRE TWP 5,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,JEANETTE MCCULLOUGH,252
0,St_Joseph,CENTRE TWP 5,STEELE - JUDICIAL RETENTION,,,YES,415
0,St_Joseph,CENTRE TWP 5,STEELE - JUDICIAL RETENTION,,,NO,144
1,St_Joseph,CENTRE TWP 5,TELLOYAN - JUDICIAL RETENTION,,,YES,416
1,St_Joseph,CENTRE TWP 5,TELLOYAN - JUDICIAL RETENTION,,,NO,144
2,St_Joseph,CENTRE TWP 5,WOODS - JUDICIAL RETENTION,,,YES,431
2,St_Joseph,CENTRE TWP 5,WOODS - JUDICIAL RETENTION,,,NO,140
0,St_Joseph,CLAY TWP 1,Ballots Cast,,,,266
1,St_Joseph,CLAY TWP 1,Registered Voters,,,,629
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,1
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,2
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,2
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,6
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,110
0,St_Joseph,CLAY TWP 1,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,142
1,St_Joseph,CLAY TWP 1,PUBLIC QUESTION #1,,,YES,129
1,St_Joseph,CLAY TWP 1,PUBLIC QUESTION #1,,,NO,121
2,St_Joseph,CLAY TWP 1,Straight Party,,DEM,DEMOCRATIC,86
2,St_Joseph,CLAY TWP 1,Straight Party,,REP,REPUBLICAN,67
2,St_Joseph,CLAY TWP 1,Straight Party,,LIB,LIBERTARIAN,3
2,St_Joseph,CLAY TWP 1,Straight Party,,WTP,WE THE PEOPLE,1
2,St_Joseph,CLAY TWP 1,Straight Party,,RED,INDIANA REDEMPTION PARTY,1
3,St_Joseph,CLAY TWP 1,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,CLAY TWP 1,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,132
3,St_Joseph,CLAY TWP 1,UNITED STATES SENATOR,,REP,JIM BANKS,110
3,St_Joseph,CLAY TWP 1,UNITED STATES SENATOR,,LIB,ANDREW HORNING,13
3,St_Joseph,CLAY TWP 1,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,CLAY TWP 1,ATTORNEY GENERAL,,DEM,DESTINY WELLS,141
0,St_Joseph,CLAY TWP 1,ATTORNEY GENERAL,,REP,TODD ROKITA,112
1,St_Joseph,CLAY TWP 1,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,135
1,St_Joseph,CLAY TWP 1,COUNTY CORONER,,REP,PATRICIA JORDAN,121
2,St_Joseph,CLAY TWP 1,COUNTY RECORDER,,DEM,SHARON BANICKI,150
2,St_Joseph,CLAY TWP 1,COUNTY RECORDER,,REP,CANDACE BROWN,104
3,St_Joseph,CLAY TWP 1,COUNTY SURVEYOR,,DEM,ED FISHER,138
3,St_Joseph,CLAY TWP 1,COUNTY SURVEYOR,,REP,DEREK D DIETER,120
4,St_Joseph,CLAY TWP 1,COUNTY TREASURER,,REP,MICHAEL ROSE,103
4,St_Joseph,CLAY TWP 1,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,150
5,St_Joseph,CLAY TWP 1,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
5,St_Joseph,CLAY TWP 1,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,9
5,St_Joseph,CLAY TWP 1,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,107
5,St_Joseph,CLAY TWP 1,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,140
6,St_Joseph,CLAY TWP 1,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,134
6,St_Joseph,CLAY TWP 1,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,123
7,St_Joseph,CLAY TWP 1,STATE REPRESENTATIVE,8,DEM,RYAN M. DVORAK,203
7,St_Joseph,CLAY TWP 1,STATE REPRESENTATIVE,8,REP,NO CANDIDATE FILED,0
8,St_Joseph,CLAY TWP 1,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,128
8,St_Joseph,CLAY TWP 1,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,117
8,St_Joseph,CLAY TWP 1,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,10
8,St_Joseph,CLAY TWP 1,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,CLAY TWP 1,MANIER - JUDICIAL RETENTION,,,YES,166
0,St_Joseph,CLAY TWP 1,MANIER - JUDICIAL RETENTION,,,NO,47
1,St_Joseph,CLAY TWP 1,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,157
1,St_Joseph,CLAY TWP 1,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,57
2,St_Joseph,CLAY TWP 1,RETAIN JUSTICE DEREK READ MOLTER,,,YES,158
2,St_Joseph,CLAY TWP 1,RETAIN JUSTICE DEREK READ MOLTER,,,NO,56
3,St_Joseph,CLAY TWP 1,RETAIN JUSTICE LORETTA H. RUSH,,,YES,159
3,St_Joseph,CLAY TWP 1,RETAIN JUSTICE LORETTA H. RUSH,,,NO,55
4,St_Joseph,CLAY TWP 1,RETAIN JUSTICE MARK S. MASSA,,,YES,151
4,St_Joseph,CLAY TWP 1,RETAIN JUSTICE MARK S. MASSA,,,NO,62
5,St_Joseph,CLAY TWP 1,SANFORD - JUDICIAL RETENTION,,,YES,162
5,St_Joseph,CLAY TWP 1,SANFORD - JUDICIAL RETENTION,,,NO,53
6,St_Joseph,CLAY TWP 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,MARCUS ELLISON,73
6,St_Joseph,CLAY TWP 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,KYLA HENDERSON,49
6,St_Joseph,CLAY TWP 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GEORGE L. JONES,50
6,St_Joseph,CLAY TWP 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GABREL (GABE) A. KEMPF,35
6,St_Joseph,CLAY TWP 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,LYNN KING,51
6,St_Joseph,CLAY TWP 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,JEANETTE MCCULLOUGH,94
7,St_Joseph,CLAY TWP 1,"SOUTH BEND SCHOOL BOARD, DISTRICT 3",,NP,CATRINA BAKER,105
7,St_Joseph,CLAY TWP 1,"SOUTH BEND SCHOOL BOARD, DISTRICT 3",,NP,WILLIAM (BILL) SNIADECKI,83
8,St_Joseph,CLAY TWP 1,STEELE - JUDICIAL RETENTION,,,YES,166
8,St_Joseph,CLAY TWP 1,STEELE - JUDICIAL RETENTION,,,NO,46
9,St_Joseph,CLAY TWP 1,TELLOYAN - JUDICIAL RETENTION,,,YES,156
9,St_Joseph,CLAY TWP 1,TELLOYAN - JUDICIAL RETENTION,,,NO,56
0,St_Joseph,CLAY TWP 1,WOODS - JUDICIAL RETENTION,,,YES,171
0,St_Joseph,CLAY TWP 1,WOODS - JUDICIAL RETENTION,,,NO,52
0,St_Joseph,CLAY TWP 2,Ballots Cast,,,,180
1,St_Joseph,CLAY TWP 2,Registered Voters,,,,729
0,St_Joseph,CLAY TWP 2,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,CLAY TWP 2,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,CLAY TWP 2,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,CLAY TWP 2,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,CLAY TWP 2,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,CLAY TWP 2,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,CLAY TWP 2,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,CLAY TWP 2,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,CLAY TWP 2,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,5
0,St_Joseph,CLAY TWP 2,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
